id,title,slug,cover,summary,mediaHash,live,userId,userName,displayName,avatar,createdAt,appreciationsReceivedTotal,responseCount,subscribed,state,dataHash,sticky
QXJ0aWNsZTo2NTc5,EA重新定義戰利箱為驚喜機制,ea重新定義戰利箱為驚喜機制,NA,在各個國家和組織都在討論戰利箱(Loot box)與賭博行為兩者之間的關係，以及這樣的隨機包裹獎勵的遊戲機制如何影響青少年的遊戲行為，遊戲大廠EA的回應則則是將焦點轉移至其他層面，重新定義戰利箱的遊戲機制，稱之為驚喜(Surprise)機制，且拒絕接受該遊戲機制可能導致賭博行為的觀察與證據。,zdpuB1u14Lwvu9tKSBBZbUwBpApUaBrGskPLkC79YFqdGdvvG,FALSE,VXNlcjo5Nzk,portraits1129,Wuu,NA,2019-06-22T14:01:58Z,NA,0,NA,active,Qmc1iyaCmTbajUDkL8v3qE3sXoJYBdCC1swcKWtmUDX2eo,NA
QXJ0aWNsZTo2NTc4,團結在林鄭四周,團結在林鄭四周,NA,圖片來源：香港電台臉書618的林鄭記招，眼鏡碎片遍地。明明大公報都已放風林鄭「今日將會宣布正式撤回和誠摯道歉……顯示為政者應有的道德勇氣和責任」（後來社評網絡版被消失），葉國謙湯家驊滅火隊又「肢體語言」呀「外冷內熱」呀，...,zdpuAp9yfENGSf8capHnPuSkEMrRJd12L3XYNTHzpYDjuZsWR,FALSE,VXNlcjo3Mjgx,anitayeung2009,yeung,NA,2019-06-22T12:07:43Z,NA,0,NA,active,QmW2CqSiTp6vBSCDJ6982CZP6hJ9mCDGFNu9GJ1vvu4n5U,NA
QXJ0aWNsZTo2NTc3,《Julie》—— 赤裸的欺騙,julie-赤裸的欺騙,NA,史特林堡（August Strindberg）十九世紀的經典文本《茱莉小姐》（Miss Julie)，談及上流下層、男與女之間的權力關係，但對現代觀眾來說，似乎還是有點過時。過時的並非因為文本已是兩個世紀前的故事，而是...,zdpuAr4PDdkh398bxrnpYzNcjmEYivgDn5RSupsE2moHm5tM9,FALSE,VXNlcjo1MzQw,felixism,felixism,NA,2019-06-22T10:40:39Z,NA,0,NA,active,Qmde2UmJVmGxg7YthxrcTU8DJWKyFXaNPXKfrh8CyCG8qa,NA
QXJ0aWNsZTo2NTc2,資源貼 | 隱私安全保護指南,資源貼-隱私安全保護指南,NA,關於香港反送中運動，Matters站上出現了不少科技向的內容，主要集中在如何保護隱私安全和好用的反送中資訊工具兩個角度上。謝謝創作者的分享。為方便大家閱讀和收藏，Matters團隊把這些資源貼整理如下。更多創作者可以使用關聯按鈕繼續拓展這個集合。,zdpuAn9UxQ7ZwMZppyjd48qcTMMG6yDpJuojNAPuTPDFUfu6Z,FALSE,VXNlcjo4MQ,hi176,Matty,NA,2019-06-22T10:10:02Z,NA,0,NA,active,QmUYwfVbLamxoGTWHQFLTbxXjkc6piLt59PVENivz61XYG,NA
QXJ0aWNsZTo2NTc1,流动中的“香港人”身份认同,流动中的-香港人-身份认同,NA,作者按：这两天大陆互联网上流传着一篇题为《香港这座城市还有救吗？》的文章，在完全不提及最重要的影响因素——中央的前提下，讨论港英政府的腐败、回归后香港政府的无能等问题，以及居高临下地指出香港学生的幼稚、固步自封，“不足以在一个大市场中与大陆青年竞争”，“普通民众很容易被蛊惑，上一...,zdpuAo6ef5A4pTiivN3LBtZEPhDqQKrKS6QNYmVsq6f3aZYAn,FALSE,VXNlcjoxMTA,laifu,來福,NA,2019-06-22T06:24:33Z,NA,5,NA,active,QmePoRtToaseJNQSnNeejCmdgoJP46oz1vxZpuj11knJu3,NA
QXJ0aWNsZTo2NTc0,《香港第一課》結語：論系統性敗壞,香港第一課-結語-論系統性敗壞,NA,回到二零一四年，佔領運動爆發前一週，各大學剛開始罷課，有從中國大陸來港的學生說想去政府總部「罷課不罷學」的現場聽演說，但又擔心安全。我想他們在大陸長大，相信都沒參與過群眾運動，在新聞聯播上看到的都是剪裁過的外國騷亂場面，維穩話語下成長難免會對參與有戒心。,zdpuAvENL5v3vqnSb2DTrBaoJNtjY11BEYmim8bS8A21tpj6S,FALSE,VXNlcjo0OA,leungkaichihk,梁啟智,NA,2019-06-22T05:06:10Z,NA,3,NA,active,QmVsVoFMdRBV2RxhFVKQN8UgSVULU3mV83TusLunJ9Kbcu,NA
QXJ0aWNsZTo2NTcz,習近平出訪平壤 G20前夕時機敏感,習近平出訪平壤-g20前夕時機敏感,NA,應金正恩邀請，中國領導人習近平於昨日(6/20)抵達平壤，展開為期兩天的國是訪問。儘管雙方領導人有過多次會面，但這次習近平親赴北韓，距離上次中國最高領導人訪問已經時隔14年，也是習近平上任最高領導人位子後的第一次。,zdpuArNJ6GePHpuhUWNmQpX2oLZvWp3NiUpTroNaK4wE2zr75,FALSE,VXNlcjo2ODY,196fu0u6,林家葦,NA,2019-06-22T05:01:06Z,NA,0,NA,active,QmThXzmWN4YBGMyG6CPx5M4e1HjMeiJC9y5J8gfcfGCkRX,NA
QXJ0aWNsZTo2NTcy,你想要的 Matters 文章 ipfs 地址,你想要的-matters-文章-ipfs-地址,NA,http://206.189.252.32:3838/matters-metadata/ （加载可能有点慢） 无意间得到 matters 的许多信息，包括文章的永久 ipfs 链接地址。,zdpuAqs3o9voVTYnXASUj2QLKa9wyi2iBATCvB3j18B3eYm4s,FALSE,VXNlcjo3MDMx,terminus2049,2049bbs,NA,2019-06-22T04:49:29Z,NA,3,NA,active,QmUBRj6e27QgNPLS5jKxmePxcGjzLECSgSazGzFMdD1QWD,NA
QXJ0aWNsZTo2NTcx,逃跑之旅,逃跑之旅,NA,如果提起我和林奕含的共通点，听我说过事件的人会回答，“性侵”。而我自己觉得共鸣率最高的词是她长篇小说标题里的两个字，“乐园”。由于创伤对我脑海的影响，我近乎记不得大部分童年的事情。有关创伤的，无关创伤的，重要的，鸡毛蒜皮的，母亲对我说的，父亲带我走过的……通通在一个巨大的，能吸走所有事物的黑洞里搅拌着，看不清，望不见。,zdpuAmxtc5xrFfU8MbJDbKbBb6x7GZyXga3RVZnvbtw5BDHXS,FALSE,VXNlcjo1MzEy,lanszzz123581321,lans,NA,2019-06-22T02:05:54Z,NA,0,NA,active,QmYiZu1v3bcojvCQuqSFpQR8s3oBEn5qUfVgyPUKAFi8zd,NA
QXJ0aWNsZTo2NTcw,作為負債的控制,作為負債的控制,NA,作為負債的控制導讀：在過去十年中，基於互聯網的服務和應用程式的監管和法律的環境發生了相當大的變化。Vitalik 在最近的文章中回顧了這些趨勢，並總結為，對用戶數據、數位資產和活動的控制正迅速從資產轉變成負債。原文：https://vitalik.ca/general/2019/...,zdpuB1QVyBEFRKsSxLMjt5ByLu9C1FkmDUjahQ5TRtBZaRaRw,FALSE,VXNlcjo2NDg0,lychees67,MinakoKojima,NA,2019-06-21T23:52:14Z,NA,0,NA,active,QmauCZ8d9fzX2NRE8wex15Q4ohtas8EREKzgshnN6zwQV9,NA
QXJ0aWNsZTo2NTY5,我的六四記憶,我的六四記憶,NA,六四事件的時候我只有五歲，住在北方某省的省會。我對六四唯一的直接記憶是電視裏被燒焦的軍人屍體的畫面。在大陸，小孩子從小就會接觸到很多暴力鏡頭，包括在各種“愛國主義教育”中接觸到的諸如董存瑞炸碉堡，黃繼光堵槍眼這樣的戰爭故事。也許正因為此，我並沒有太多心理上的不適。,zdpuAuoVwvvwj4E9pCSL4KBiGJMDfZkgSx81eJcqPHEEizTzM,FALSE,VXNlcjo2ODk5,freshman,Freshman,NA,2019-06-21T19:12:16Z,NA,0,NA,active,QmPW7zzxhAFm9SKECMaQmTugHzoQiH3myPVzH7KWKsyfS3,NA
QXJ0aWNsZTo2NTY4,留守無用？一名「和理非」的回答,留守無用-一名-和理非-的回答,NA,「反送中」情況沒有因為林鄭月娥在電視機面前，口頭說「真誠道歉」及「即時停止」引渡條例修例工作，便處理民間對撤回引渡條例的要求。警務處處長盧偉聰更改說法，指「沒說整個事件是暴動」，也不足以平息市民對警方在6月12日以武力對待示威者的憤怒，即使無條件釋放涉嫌6月12日「遊蕩」的市民，...,zdpuB1Qjnrz5iBcrq2PwosZSkzo2sSuT7bD6uFAkjXdeD7A3D,FALSE,VXNlcjo2MDA1,jackeylihokwan,JackeyLi,NA,2019-06-21T17:44:10Z,NA,0,NA,active,QmaeVLuGVHPXpJvztxvknM1RnKtxykrnSrrptbPfhnxhNW,NA
